plan_name,bucket
ALLIED BENEFIT GROUP- CIGNA [10031204],Commercial
ALLIED BENEFIT GROUP- PHCS [10031205],Commercial
ALLIED BENEFIT GROUP-PHCS 75068 [10031206],Commercial
ALLSTATE AUTO [75000501],Commercial
AM FIRST INSURANCE COMPANY [10035501],Commercial
AMA INSURANCE [10032901],Commercial
AMBETTER COMMERCIAL,Commercial
AMBETTER OF SUNSHINE HEALTH [10025601],Commercial
AMBETTER PEACH STATE [10025602],Commercial
AMERIBEN SOLUTIONS [10031901],Commercial
AMERICAN PLAN ADMINISTRATORS [10034301],Commercial
AMERICAN PUBLIC LIFE [10034401],Commercial
AMERICAN RETIREMENT LIFE INSURANCE [10000932],Commercial
AMERIGROUP COMMUNITY CARE [45011901],Commercial
AMERIHTH CARITAS NXT EX,Commercial
AMFIRST INSURANCE COMPANY [10036901],Commercial
AMO MEDICAL [10036401],Commercial
AMTRUST [70007801],Commercial
APWU- SECONDARY [10037702],Commercial
APWU/UNITED HEALTHCARE  [10037701],Commercial
ARTHUR VINING DAVIS FOUNDATION [50001910],Commercial
ASCENSION SMARTHEALTH [10025901],Commercial
ASOEO,Commercial
ASR HEALTH BENEFITS [10034501],Commercial
ASSURANT HEALTH - AETNA ASA [10027001],Commercial
AUXIANT [10000939],Commercial
AVMED BEHAVIORAL HEALTH [10028701],Commercial
AVMED ENTRUST,Commercial
AVMED ENTRUST [10024703],Commercial
AVMED HEALTH PLAN CONTRACTED [25020401],Commercial
AVMED HMO,Commercial
AVMED HMO ENGAGE [10024705],Commercial
AVMED HMO [10024706],Commercial
AVMED INDIVIDUAL,Commercial
AVMED MEDICARE,Medicare
AVMED POS EMPOWER [10024707],Commercial
AVMED PPO,Commercial
AVMED STATE OF FLORIDA [10024704],Commercial
Aetna,Commercial
Aetna ASA,Commercial
Aetna First Health,Commercial
Aetna INTL Passport,Commercial
Aetna Work Comp FL,Commercial
All Commercial Plans/Medical Rental Network,Commercial
All Commercial Products,Commercial
All Plans,Unknown
All Products,Commercial
All Products-Transplant,Commercial
All-inclusive Care for Elderly Program,Commercial
AllPayerAppendix,Unknown
Ambetter,Commercial
Amerigroup Medicaid FL,Medicaid
Auto Insurance FL State Auto Insurance FL,Commercial
AvMed,Commercial
Avmed,Commercial
BANKERS LIFE AND CASUALTY [10029301],Commercial
BAPTIST EAP (BBH ONLY) [10700104],Commercial
BC FL PPO [21000101],Commercial
BCBS ADVANTAGE 65 [10027702],Commercial
BCBS BAPTIST EMPLOYEE [20000205],Commercial
BCBS BLUECARE HMO [20000204],Commercial
BCBS BLUEOPTIONS OUT OF STATE [20000211],Commercial
BCBS BLUEOPTIONS PPO [20000201],Commercial
BCBS BLUESELECT NON PAR [20000209],Commercial
BCBS BLUESELECT UNDER 18 [20000213],Commercial
BCBS FEDERAL EMP PROGR [20000203],Commercial
BCBS FL BSL,Commercial
BCBS FL HMO,Commercial
BCBS FL MBN,Commercial
BCBS FL NWB,Commercial
BCBS FL PHS,Commercial
BCBS FL PPO,Commercial
BCBS FL SBN,Commercial
BCBS FL SIMPLYBLUE HMO,Commercial
BCBS HMO - MYBLUE [20000207],Commercial
BCBS HMO/POS - OUT OF STATE [20000214],Commercial
BCBS HMO/PPO,Commercial
BCBS MEDICARE,Medicare
BCBS MEDICARE HMO [45012702],Medicare
BCBS MEDICARE PPO,Medicare
BCBS MEDICARE PPO [45012701],Medicare
BCBS MEDICARE REPLACEMENT [25050301],Medicare
BCBS MEDICARE SUPPLEMENT [10027701],Medicare
BCBS NETWORKBLUE,Commercial
BCBS PHS CAH,Commercial
BCBS PPC,Commercial
BCBS PPC B,Commercial
BCBS PPC CAH,Commercial
BCBS PPO OUT OF STATE [20000212],Commercial
BCBS PPO [20000202],Commercial
BCBS TRADITIONAL [20000208],Commercial
BCCEDP [50001101],Commercial
BEACON HEALTH OPTIONS [10027801],Commercial
BEACON HEALTH STRATEGIES [10027802],Commercial
BENEFIT ADMINISTRATIVE SYSTEMS [10029401],Commercial
BLUE CARE HMO,Commercial
BLUE CROSS,Commercial
BLUE CROSS BLUE SHIELD,Commercial
BLUE SELECT,Commercial
BMC EMPLOYEE HEALTH [70005701],Commercial
BOON-CHAPMAN [10000122],Commercial
BRIGHT HEALTH EXCHANGE,Commercial
BRIGHT HEALTH [10028301],Commercial
BRIGHTON HEALTH PLAN [10032501],Commercial
BRISTOL WEST AUTO INSURANCE [75001101],Commercial
BSL,Commercial
Blue Select,Commercial
Blue Select OP,Commercial
BlueSelect,Commercial
Broad Network,Commercial
CAPITAL HEALTH PLAN,Commercial
CAPITAL HEALTH PLAN [10025501],Commercial
CARELON BEHAVIORAL HEALTH MEDICAID [45011501],Medicaid
CARELON BEHAVIORAL HEALTH [10037901],Commercial
CAREPLUS HEALTH MEDICARE [45013001],Medicare
CAREPLUS MC HMO,Commercial
CARESOURCE OF GEORGIA MEDICAID [45012101],Medicaid
CCMSI [70007701],Commercial
CELTIC INSURANCE COMPANY [10035601],Commercial
CENPATICO SUNSHINE HEALTH MCD,
CENTIVO NON-SELECT [10027202],Commercial
CENTIVO SELECT [10027201],Commercial
CENTRAL STATES INDEMNITY [10037401],Commercial
CHAMPVA [50000101],Commercial
CHAMPVA/Tricare,Other Government
CHILDREN MEDICAL SERVICES MCD,
CHIP/Medicaid,
CIGNA,Commercial
CIGNA BEHAVIORAL HEALTH [10028801],Commercial
CIGNA CONNECT NETWORK EXCHANGE,Commercial
CIGNA CONNECT [10000937],Commercial
CIGNA EAP (BBH ONLY) [10700101],Commercial
CIGNA GREAT WEST [10000902],Commercial
CIGNA HEALTH PARTNERS [10000934],Commercial
CIGNA HEALTH PARTNERS [10028802],Commercial
CIGNA HMO,Commercial
CIGNA HMO [10000922],Commercial
CIGNA HMO/PPO [21020101],Commercial
CIGNA MEDICARE ADVANTAGE,
CIGNA MEDICARE SUPPLEMENT [100000928],
CIGNA NATIONAL ASSOC OF LETTER CARRIERS [10000904],Commercial
CIGNA NEW BUSINESS [10000923],Commercial
CIGNA POS [10000925],Commercial
CIGNA PPO,Commercial
CIGNA PPO [10000901],Commercial
CIGNA/APWU [10000928],Commercial
CLAY COUNTY SHERIFF'S OFFICE [50002501],Commercial
CLEAR HEALTH ALLIANCE MCD,
CLEAR HEALTH ALLIANCE [45012201],Commercial
CLEAR HEALTH [25030901],Commercial
CLEMENTS FAMILY ENDOWMENT [50001905],Commercial
CMS SUNSHINE HEALTH MEDICAID [45011103],
COLONIAL PENNLIFE [10029501],Commercial
COMMUNITY CARE PLAN [45014101],Commercial
COMMUNITY HOSPICE OF NORTHEAST FLORIDA [50001201],Commercial
COMPSYCH [10028501],Commercial
COMPUTER SHARE [10030002],Unknown
CONSTITUTION LIFE [10035401],Commercial
COUNTRY LIFE INSURANCE [10037501],Commercial
COVENTRY HEALTHCARE OF GA [10001003],Commercial
CROSS BLUE CROSS MBN,Commercial
CROSS BLUE CROSS NWB,Commercial
CROSS BLUE CROSS PHS,Commercial
CROSS BLUE CROSS PPO,Commercial
CROSS BLUE CROSS SBN,Commercial
CROSS MEDICARE ADVANTAGE (100% POM),
CURATIVE [10038801],Commercial
ChampVA NODE ChampVA,Other Government
Choice-Select HMO/Options PPO/Cruise Lines,
Cigna ALL,
Commercial,
Commercial - Inpatient,
Commercial - Outpatient,
Commercial Exchange,
Commercial HMO,
Commercial HMO/PPO/POS,
Commercial NWB,
Commercial Other,
Commercial Other - Outpatient,
Commercial PPO,
Commercial PPO - Inpatient,
Commercial PPO Choice,
Commercial PPO International,
Commercial PPO Select Network,
Commercial Prime Network Products - Outpatient,
Commercial/Medicare,
Community Care Medicaid HMO,
Complementary,
Complete Care MCR,
CorVel Work Comp FL,
Corporation WORKERSCOMP,
Corvel Work Comp FL,
County Sheriffs LocalGovernment,
Cross Commercial HMO Health Options,
Cross Commercial HMO Health Options - Outpatient,
Cross Commercial HMO My Blue,
Cross Commercial HMO My Blue - Outpatient,
Cross Commercial HMO Simply Blue,
Cross Commercial HMO Simply Blue - Outpatient,
Cross Commercial PPO Blue Select,
Cross Commercial PPO Blue Select - Outpatient,
Cross Commercial PPO Network Blue,
Cross Commercial PPO Network Blue - Outpatient,
Cross Commercial PPO PPC PHS,
Cross Commercial PPO PPC PHS - Outpatient,
Cross Medicare HMO,
DANIEL MEMORIAL [50002801],
DAVIES NORTH AMERICA [70005801],
DEVOTED HEALTH MC HMO,
DEVOTED HEALTH MEDICARE [45013201],
DIMENSION 2,
DIMENSION HEALTH PLANS,
DIMENSION PLUS,
DIRECT GENERAL AUTO [75001301],
DISCOVERY AUTO [75000801],
DOCTORS HEALTHCARE MC HMO,
DRUG ASSISTANCE PROGRAMS [11000101],
Definitive Care MGMCR,
EBMS [10034701],
EMBLEM HEALTH [10031301],
EPO/PPO,
ESIS [70007901],
ESTHI STUDY [50002401],
ESURANCE AUTO [75000901],
EVOLUTIONS HEALTHCARE SYSTEMS [10026601],
Employee Coverage,
Eval Services Veterans Eval Services,
Exchange,
FARM BUREAU HEALTH PLANS [10033201],
FB PATIENT ENDOWMENT [50001906],
FEDERAL LIFE [10036201],
FHK,
FIDELIS CARE [45014201],
FIRST HEALTH AUTO [75001201],
FIRST HEALTH [10026101],
FLORIDA COMMUNITY CARE [45012401],
FLORIDA COMPLETE CARE MEDICARE [45013901],
FLORIDA HEALTH PLAN [10026801],
FRANTZ PEDIATRIC BEHAVIORAL HEALTH ENDOWMENT [50001903],
FREEDOM FIRST MEDICAID HMO [25030501],
FREEDOM HLTH MEDICARE REPLACEMENT [25050501],
FREEDOM LIFE INSURANCE [10032001],
FRINGE BENEFITS GROUP [10029601],
FSCJ STUDENT [50001301],
First Commercial - Outpatient,
First Health Aetna First Health,
First Medicare Advantage - Outpatient,
First Medicare HMO,
Freedom Optimum MCR ADV NODE Freedom Optimum MCR ADV,
GCU MEDICARE SUPPLEMENT [10038701],
GEHA  [10003904],
GEHA ASA [10003902],
GEHA/UNITED HEALTH SHARED SERVICES [10003903],
GEICO AUTO INSURANCE [75000201],
GEORGIA BETTER HEALTH PLAN [30000202],
GERBER LIFE INSURANCE [10032101],
GLOBAL CARE [10025701],
GLOBAL EXCEL CONTRACTED [25024101],
GMP EMPLOYERS RETIREE TRUST [10034101],
GOLD KIDNEY HEALTH PLAN [45014301],
GPM HEALTH AND LIFE INSURANCE [10037001],
GRAVIE [10000123],
GREAT SOUTHERN MEDICARE SUPPLEMENT [10034801],
GREENE BEHAVIORAL HEALTH ENDOWMENT [50001901],
GROUP AND PENSION ADMINISTRATORS (GPA) [10031501],
GUARANTEE TRUST LIFE [10037801],
GVT,
Gatekeeper,
GlobalBenefitPlan,
Group Health Plan UMR CHS Group Health Plan UMR,
Group Health and All Other,
HALL-HALLIBURTON COLLABORATIVE CARE ENDOWMENT [50001909],
HAVEN HOSPICE [50001401],
HC HMO/PPO/POS/EPO,
HC Medicaid HMO - Outpatient,
HC Medicare Advantage - Outpatient,
HC PPO,
HEALTH AMBETTER MARKETPLACE Sunshine State Health Plan Commercial Exchange,
HEALTH COMP [10036301],
HEALTH MEDICAID FL SUNSHINE HEALTH MEDICAID FL,
HEALTH NET [10000938],
HEALTH PLAN CAPITAL HEALTH PLAN MEDICARE (228% POM),
HEALTH PLAN MEDICARE ADVANTAGE (100% POM with U/L),
HEALTHGRAM [10031601],
HEALTHSCOPE BENEFITS (SUDDATH ONLY) [10029801],
HEALTHSCOPE/AETNA [10000111],
HIX,
HIXOON,
"HMA,LLC [10035701]",
HMO,
HMO Employee Plan,
HMO Freedom-Classic/National EPO-PPO-POS/SmartNet,
HMO IP,
HMO OP,
HMO/Open Access,
HMO/PPO,
HMO/PPO/Exchange,
HMOFI,
HOP ADMINISTRATION [10033001],
HORIZONS MEDICARE ADVANTAGE (100% POM),
HUMANA DUAL MEDICAID [45011302],
HUMANA HEALTHY HORIZONS [45011301],
HUMANA HMO,
HUMANA HMO/POS [10005201],
HUMANA MCD,
HUMANA MEDICAID HMO [25031801],
HUMANA MEDICARE,
HUMANA MEDICARE DUAL [45012803],
HUMANA MEDICARE HMO [45012802],
HUMANA MEDICARE PPO [45012801],
HUMANA MEDICARE SUPPLEMENT [10005205],
HUMANA OPEN ACCESS EPO [10005204],
HUMANA PPO,
HUMANA PPO [10005202],
HUMANA PPO [25021501],
HUMANA_HMO,
Health Alliance Medicaid HMO,
Health Care Plan MCR,
Health Commercial PPO,
Health IP,
Health Integral Health Medicaid FL,
Health Medicaid HMO,
Health Medicare HMO,
Health OP,
Health Options,
Health PPO,
Health Partners Community Health Partners,
Health Plan MCR,
Health Plan Medicare HMO - Outpatient,
Health Prestige Medicaid FL,
Health Sheriff COMM,
Health Sheriff WORKERSCOMP,
Health WC,
Health Work Comp FL Prime Health Work Comp FL,
Health and Wellness HMO,
HealthCare Medicaid HMO,
HealthOptions,
Healthcare Medicare HMO - Outpatient,
Healthcare NODE Simply MCR ADV,
Healthcare Plan Simply Healthcare Plan,
Healthcare Plan Simply Medicaid FL,
Healthspring MCR,
Healthy Kids,
Healthy Kids Medicaid,
Humana ALL,
Humana Medicaid FL,
IAC LIFE [10036601],
IMAGINE360 (GPA) [10029701],
INDEPENDENT HEALTH [10035801],
INTEGRATED BEHAVIORAL HEALTH [10028601],
INTERNATIONAL AETNA,
INTERNATIONAL TRAVELERS INSURANCE [11000001],
INTL UNITED HEALTH,
IP,
Indemnity,
Individual Exchange,
International,
JACKSONVILLE JAGUARS [50002301],
JACKSONVILLE SHERIFF'S OFFICE [50002601],
JHS Select/Select HMO,
Jackson First,
KAISER PERMANENTE [10029901],
KEMPER HEALTH [10036701],
KEY BENEFIT ADMIN [25025501],
LEON HEALTH MC HMO,
LEON MED MC HMO NC,
LHS/MEDCOST [10034901],
LIBERTY MUTUAL [75001401],
LIMITED BENEFIT GROUP SUPPLEMENTAL [10035901],
LINE CONSTRUCTION BENEFIT [10038101],
LONGEVITY HEALTH PLAN [45014001],
LUCENT 65085 AETNA [10038406],
LUCENT HEALTH [10030001],
LUCENT- 65085 PHCS [10038402],
LUCENT-00590T [10038404],
LUCENT-62308 [10038401],
LUCENT-68011 [10038403],
LUCENT-88056 [10038405],
LUMICO LIFE INSURANCE [10039001],
LUMINARE HEALTH [10038901],
Lifesource-Transplant,
Lifetrac-Transplant,
LocalPlus/Surefit,
MAGELLAN COMPLETE MEDICAID [45011401],
MAGNACARE [10031701],
MANAGED MEDICAID,
MANHATTAN LIFE INSURANCE [10036001],
MARPAI HEALTH [10037101],
MBA TPA [10030101],
MBN,
MCR,
MCR ADV NODE Aetna MCR ADV,
MCR ADV NODE Humana MCR ADV,
MCRHMO,
MCRPPO,
MCS CLASSICARE [45014701],
MDCPS Employee,
MED MUTUAL PROTECT [10038001],
MEDI-SHARE [10030301],
MEDICA MCR HMO,
MEDICA UHC [10030202],
MEDICA [10030201],
MEDICAID FLORIDA,
MEDICAID OF FLORIDA ALTERNATE PLAN [30000401],
MEDICAID OF FLORIDA SHARE OF COST [30000102],
MEDICAID OF FLORIDA [30000101],
MEDICAID OF GEORGIA [30000201],
MEDICAID OUT OF STATE [30999901],
MEDICAL MUTUAL OF OHIO [10011401],
MEDICARE,
MEDICARE ADVANTAGE (100% POM with U/L),
MEDICARE ADVANTAGE (100% POM),
MEDICARE NO CONTRACT,
MEDICARE PART A AND B [40000101],
MEDICARE PART A SECONDARY ALTERNATE [88802],
MEDICARE PART A [40000102],
MEDICARE PART B ALTERNATE [88801],
MEDICARE PART B [40000103],
MEDICARE RAILROAD PART A AND B [40000104],
MEDICARE RAILROAD PART A [40000105],
MEDICARE RAILROAD PART B [40000106],
MEDICARE REPLACEMENT [25051601],
MEDICARE REPLACEMENT [25052501],
MEDIPLUS [10026501],
MERITAIN [10006301],
MGMCR,
MGMCRHMO,
MGMCRPPO,
MISC. GOVERNMENT,
MISCELLANEOUS AUTO/TPL [75999901],
MISCELLANEOUS BEHAVIORAL HEALTH [10031401],
MISCELLANEOUS COMMERCIAL [10999901],
MISCELLANEOUS CORRECTIONAL FACILITY [50999801],
MISCELLANEOUS HOSPICE [51000001],
MISCELLANEOUS MEDICAID REPLACEMENT [35999901],
MISCELLANEOUS MEDICARE REPLACEMENT [45999901],
MISCELLANEOUS OTHER [50999901],
MISCELLANEOUS SNF [51000101],
MISCELLANEOUS WORKERS' COMP [70999901],
MMP/Medicare,
MODA MEDICARE SUPPLEMENT [10037601],
MOLINA HEALTH MD,
MOLINA HEALTHCARE OF FLORIDA [45011801],
MOLINA MARKETPLACE HMO [10027101],
MOLINA MEDICAID HMO [25030701],
MULTIPLAN,
MULTIPLAN PRO AMER NTWRK [25022301],
MULTIPLAN [10025801],
MUTUAL OF OMAHA [10030401],
MY BLUE EX,
MY HEALTH PLAN  [100000932],
Magellan Medicaid FL,
Managed Medicaid,
ManagedCareHMO,
Marketplace,
Medicaid,
Medicaid FL Medicaid,
Medicaid FL Ped-I-Care Medicaid FL,
Medicaid HMO,
Medicaid Non Par FL Medicaid Non Par,
Medicaid Non Par FL Medicaid Non-Par,
Medical Rental,
Medical Services Medicaid Childrens Medical Services Medicaid,
Medical Services Medicaid FL Childrens Medical Services Medicaid FL,
Medical Services S FL Community Care Network Medicaid FL,
Medicare,
Medicare Advantage,
Medicare Advantage - Outpatient,
Medicare Advantage OON (MMG) - Outpatient,
Medicare Advantage/Commercial Exchange,
Medicare Complete,
Medicare HMO,
Medicare HMO - Outpatient,
Medicare Non Par NODE Medicare Non Par,
Medicare PPO,
Medicare Traditional NODE Medicare Traditional,
Medicare-Medicaid Dual Eligibility,
Modified Indemnity,
MultiPlan,
Multiplan,
My Blue OP,
MyBlue/SimplyBlue/BlueCare,
NASSAU COUNTY HEALTH DEPARTMENT [50002101],
NASSAU COUNTY SHERIFF'S OFFICE [50001601],
NASSAU LIFE AND ANNUITY [10034601],
NATIONWIDE AUTO [75000701],
NBN,
NEIBP [10033601],
NEMOURS RESEARCH [50002901],
NETWORK BLUE,
NEW ERA LIFE INSURANCE [10035001],
NFL DEDICATED HOSPITAL NETWORK PROGRAM [10000927],
NHP HMO,
NINETY DEGREE BENEFITS [10000935],
NODE Aetna MCR ADV,
NODE BCBS FL MCR ADV,
NODE Humana MCR ADV,
NODE UHC MCR ADV,
NORTHEAST FLORIDA STATE HOSPITAL [50001801],
NORTHWELL DIRECT [10031702],
NWB,
Network Blue,
NetworkBlue,
Non-Gatekeeper,
Non-Options PPO,
OCCUNET STUDENT ATHLETES [50001501],
OFFICE OF THE ATTORNEY GENERAL [50002201],
OP,
OPTIMED HEALTH [10038201],
OPTUM/UBH EAP (BBH ONLY) [10700102],
OSCAR HEALTH EXCHANGE,
OSCAR INSURANCE COMPANY [10027301],
OccuNet,
OccuNet Work Comp FL,
Occunet,
Occunet Work Comp FL,
Optimum NODE Freedom Optimum MCR ADV,
Options PPO,
OptionsPPO,
Optum Transplant,
PAN AMERICAN LIFE [10036801],
PARAMOUNT ADVANTAGE [10032201],
PEACH STATE HEALTH PLAN [45012001],
PEAK TPA [50003001],
PEHP HEALTH AND BENEFITS [10039101],
PFFS MEDICARE REPLACEMENT [25050801],
PHCS,
PHILADELPHIA AMERICAN LIFE INSURANCE [10031801],
PHS,
PHYSICIANS MUTUAL [10033501],
PIP AUTO [75001501],
PPC,
PPC PPO,
PPO,
PPO IP,
PPO OP,
PPO Products,
PPO/PHS,
PRESTIGE HEALTH CHOICE [45012301],
PRESTIGE MD HMO NC,
PRINCIPAL LIFE [10035101],
PRIORITY HEALTH [10000929],
PRIVATE HEALTHCARE SYSTEMS [10027401],
PRO MEDICA HOSPICE [50003201],
PROGRESSIVE AUTO [75000401],
PROMEDICA HOSPICE [50003201],
PROMINENCE,
PROSPERITY LIFE [10037201],
Pathwell,
Pay Self Pay,
Personal Injury,
Plus Medicare HMO,
Primary,
Prime,
Private,
QHP,
REGIONAL CARE INC [10037301],
RESEARCH MEDICARE PART A AND B [40000301],
Rockport Work Comp FL,
S&S HEALTH [10036101],
SAMBA [10000931],
SBN,
SBN/MBN,
SEAFARERS HEALTH AND BENEFITS [1003520101],
SEAFARERS HEALTH AND BENEFITS [10035201],
SELECTHEALTH [45014501],
SELF-FUNDED HEALTH PLAN,
SELMAN AND COMPANY [10032301],
SILAC [10036501],
SIMPLY HEALTHCARE HEALTHY KIDS [10026201],
SIMPLY HEALTHCARE MEDICAID [45011701],
SIMPLY HEALTHCARE PLAN MCD,
SIMPLY MEDICAID [25030902],
SIMPLYHLTH MD HMO NC,
SISCO [10000933],
SOLIS HEALTH PLANS [45014601],
ST JOHNS COUNTY SHERIFF'S OFFICE [50002701],
STATE FARM AUTO [75000301],
STATE FARM HEALTH INSURANCE [10038301],
SUNSHIN HLTH AMBT NC,
SUNSHINE MEDICAID HMO [25031101],
SUNSHINE ST MD HMONC,
SUNSHINE STATE HEALTH PLAN [45011101],
SUREST [10006027],
Select,
Select HMO/Options PPO/Cruise Lines,
Select Network,
Senior Care MGMCR,
Signature,
Spring Health MCR,
State Auto Insurance State Auto Insurance FL,
State Health Plan Medicaid FL Sunshine State Health Plan Medicaid FL,
State Health Plan QHP,
State MCR,
Sunshine State Health Plan Commercial Exchange NODE Sunshine State Health Plan Commercial Exchange,
TEAMSTERS CENTRAL PA HEALTH AND WELFARE [10038601],
THE EMPIRE PLAN [10029101],
THE EPIC LIFE INSURANCE COMPANY [10034003],
THE HEALTH PLAN [10030501],
THE LOOMIS COMPANY RBB [10032802],
THE LOOMIS COMPANY [10032801],
THRIVENT [10032601],
TRANSAMERICA LIFE INSURANCE COMPANY [10030601],
TRANSPLANT,
TRICARE,
TRICARE ANCILLARY ONLY [60000107],
TRICARE FOR LIFE [60000103],
TRICARE PRIME HMO [60000108],
TRICARE RESERVE SELECT [60000105],
TRICARE SELECT [60000104],
TRUSTMARK HEALTH BENEFITS [10032701],
TUFTS HEALTH PLAN [10032401],
Therapies Transplant,
TieredNetwork,
Traditional,
Traditional OP,
Transplant,
Transplant - Outpatient,
Tricare,
Tricare NODE Tricare,
UF HEALTH DIRECT CARE HMO [10026701],
UF HEALTH PROTON THERAPY INSTITUTE [50001701],
UHC ALL SAVERS [10006008],
UHC APA,
UHC BEHAVIORAL HEALTH MEDICAID [45013801],
UHC BEHAVIORAL HEALTH MEDICARE [45013602],
UHC BEHAVIORAL HEALTH [10028901],
UHC CHOICE PLUS-CORE [10006039],
UHC COMPASS [10006031],
UHC COVER FLORIDA [10006032],
UHC DUAL COMPLETE MEDICAID [45011203],
UHC DUAL COMPLETE MEDICARE HMO [45002101],
UHC DUAL COMPLETE MEDICARE PPO [45002106],
UHC EMPIRE [10028401],
UHC GOLDEN RULE [10006007],
UHC HEALTH OPTIONS PPO [10006028],
UHC MEDICAID [45011201],
UHC MEDICARE HMO [45002115],
UHC MEDICARE PPO [45002114],
UHC MEDICARE REPLACEMENT [25051501],
UHC Medicaid FL,
UHC NHP,
UHC OA CHOICE [10006026],
UHC OXFORD HEALTH PLAN [10006034],
UHC SELECT HMO [10006029],
UHC SELECT PLUS [10006030],
UHC STUDENT RESOURCES [10006035],
UHC UMR PPO [10006036],
UHC UMR [10006033],
UHC WELLMED MEDICARE [45002116],
UHP ADMINISTRATORS [10035301],
UMR BAPTIST EMPLOYEES [10006038],
UMR COMPASS ROSE [10006037],
UNICARE [10030701],
UNIFIED LIFE INSURANCE COMPANY [10033701],
UNITED AMERICAN INSURANCE [10030801],
UNITED HEALTH CARE MCD,
UNITED HEALTH CARE MEDICARE,
UNITED HEALTHCARE,
UNITED HEALTHCARE ALL PAYER,
UNITED HEALTHCARE EXCHANGE [10006040],
UNITED HEALTHY KIDS,
UNITED HLTH MC HMO,
UNITED HMO,
UNITED HMO/PPO [21040201],
UNITED MD HMO,
UNITED MINE WORKERS [10033901],
UNITED MINE WORKERS [45003301],
UNITED PPO,
UNITED WORLD LIFE INSURANCE COMPANY [10033801],
UPMC MEDICARE HMO [45013101],
UPMC MEDICARE PPO [45013102],
US Dept of Labor NODE US Dept of Labor,
US HEALTH GROUP [10030901],
USAA AUTO [75000601],
USAA LIFE [10031001],
United Optum VA CCN NODE United Optum VA CCN,
VA CCN ALTERNATE PLAN [10029001],
VA COMMUNITY CARE NETWORK [10006814],
VA NODE VA,
VACCN,
VETERANS ADMINISTRATION(BILLING ONLY) [10006815],
VITAS HEALTHCARE OF FLORIDA [50003101],
VIVIDA HEALTH MEDICAID [35000701],
VOLUSIA HEALTH NETWORK [10026301],
WARD AND GLOCK ENDOWMENT [50001907],
WC AIG [70006902],
WC ALL ELITE WRESTLING [70007501],
WC AMERISYS [70007001],
WC BAPTIST OCCUPATIONAL HEALTH [70006101],
WC BERKLEY SPECIALTY- JAGUARS [70006001],
WC BLUE CROSS [70006301],
WC CITY OF JACKSONVILLE [70006501],
WC CORVEL [70006701],
WC COVENTRY HEALTH CARE [70006801],
WC GALLAGHER & BASSET [70007101],
WC JACKSONVILLE JUMBO SHRIMP [70005401],
WC JACKSONVILLE SHARKS [70007401],
WC MULTIPLAN [70006601],
WC NE FL ST HOSP/FL DPT INSUR [70006201],
WC OCCUPATIONAL HLTH PHYS THER [70005601],
WC PRIME COMP [70006401],
WC SEDGWICK/PATIENT ACCOUNTING [70005501],
WC THE HARTFORD [70007601],
WC US DEPARTMENT OF LABOR [70002301],
WCH M&R HILL ENDOWMENT [50001904],
WE CARE [50002001],
WEAVER LEGACY ENDOWMENT [50001902],
WEB TPA [10031101],
WELLCARE DUAL MEDICARE [45012902],
WELLCARE MEDICARE ADVANTAGE PLAN,
WELLCARE MEDICARE HMO [45012901],
WESTERN & SOUTHERN LIFE [10038501],
WPS HEALTH INSURANCE [10034001],
WPS HEALTH PLAN [10034002],
Wellcare MCR ADV NODE Wellcare MCR ADV,
Wellcare Medicaid FL,
Work Comp FL Work Comp,
Workers Comp,
Workers Compensation FL Work Comp,
_ better_health_healthy_kids,
_ better_health_medicaid,
_ epo,
_better_health healthy_kids,
_better_health mcd,
_careplus hmo_medicare,
_careplus medicare,
_epo,
_health medicare,
_health medicare_hmo_ppo,
_health_plans _medicare,
_health_plans _medicare_hmo,
_healthcare _hmo_ppo_medicare,
_healthcare _medicare,
_healthcare behavioral,
_healthcare highlands_county,
_healthcare hmo_ppo,
_healthcare surefit_epo,
_healthcare volusia_county,
_healthcare volusia_county_hmo,
_medicare_adv__ppo,
_medicare_adv_hmo,
_medicare_adv_hmo_,
_medicare_adv_hmo_ppo,
_medicare_adv_ppo,
_surefit surefit_epo,
_whole_health hmo_ppo,
accelerated,
accelerated_ppo,
administration mill bill veterans administration mill bill,
administration vaccn veterans administration vaccn,
aetna,
aetna - city of titusville,
aetna all,
aetna asa,
aetna better health,
aetna commercial,
aetna coventry first health facility rental,
aetna first health,
aetna gatekeeper/non gatekeeper,
aetna intl passport,
aetna mcr adv node aetna mcr adv,
aetna medicare,
aetna work comp fl,
aetnagatekeeper,
aetnahix,
aetnamgdmcaid,
aetnamgdmcare,
aetnanongatekeeper,
affiliates freedomhealthmgdmcare,
affiliates healthsunhealthplansmgdmcare,
affiliates simplyhealthcaremgdmcaid,
affiliates simplyhealthcaremgdmcare,
all cigna all,
all humana all,
all plans,
alliance organ recovery comm,
allpayerappendix,
ambetter,
ambetter_exchange,
ambetterhix,
ambetterhixvalueandselect,
america mcr,
amerigroup,
amerigroup kids medicaid fl,
amerigroup medicaid fl,
amerihealthcaritasmgdmcaid,
amerihealthcaritasmgdmcare,
amerihealthexchange,
and uk medical abroad llc ppo usandukmedicalabroadllcppo,
apa uhc apa,
asa,
asa_ppo,
asoeo,
assistance assuredassistanceppo,
auto insurance fl state auto insurance fl,
avmedcommercial,
avmedemployeroptionaso,
avmedentrusthix,
avmedmgdmcare,
bcbs fl bsl,
bcbs fl hmo,
bcbs fl mbn,
