plan_name,bucket,specification
847_SUNSHINE AMBETTER COMMERCIAL HEALTH INPATIENT 20241001,Commercial,Sunshine
848_TRIWEST 20241001,Government,Tricare
850_AETNA MEDICARE ADVANTAGE INPATIENT 20241001,Commercial,Aetna
851_AETNA 20241001,Commercial,Aetna
852_BLUE CROSS BLUE SHIELD BSL 20241001,Commercial,Blue Cross Blue Shield
853_BLUE CROSS BLUE SHIELD HMO 20241001,Commercial,Blue Cross Blue Shield
854_BLUE CROSS BLUE SHIELD MBN 20241001,Commercial,Blue Cross Blue Shield
855_BLUE CROSS BLUE SHIELD NWB 20241001,Commercial,Blue Cross Blue Shield
856_BLUE CROSS BLUE SHIELD PHS 20241001,Commercial,Blue Cross Blue Shield
857_BLUE CROSS BLUE SHIELD PPO 20241001,Commercial,Blue Cross Blue Shield
858_BLUE CROSS BLUE SHIELD SBN 20241001,Commercial,Blue Cross Blue Shield
859_CIGNA 20241001,Commercial,Cigna
860_UNITED HEALTH CARE 20241001,Commercial,United Health Care
861_UNITED HEALTH CARE NHP 20241001,Commercial,United Health Care
893_AETNA NEW BUSINESS DISCOUNT OUTPATIENT SCFL 20211015,Commercial,Aetna
904_AETNA NEW BUSINESS DISCOUNT OUTPATIENT 20211015,Commercial,Aetna
947_UNITED HEALTH CARE PPO 20210101,Commercial,United Health Care
AARP [10027501],Commercial,AARP
ACCEL,Commercial,Accel
accelerated,Commercial,Accelerated
accelerated_ppo,Commercial,Accelerated
ACCENDO [10000120],Commercial,Accendo
ACCESS BEHAVIORAL HEALTH HUMANA MCD,Government,Medicaid
ACO,Commercial,ACO
ACO Reach,Commercial,ACO
ACTIVE DUTY MILITARY [60000109],Government,Other Government
administration mill bill veterans administration mill bill,Government,VA
administration vaccn veterans administration vaccn,Government,VA
ADMINISTRATIVE CONCEPTS [10029201],Unknown,Unknown
ADOLESCENT BEHAVIORAL HEALTH ENDOWMENT [50001908],Unknown,Unknown
ADVANTAGE (100% POM) MEDICARE ADVANTAGE (100% POM),Government,Medicare
ADVANTAGE MEDICARE ADVANTAGE (100% POM),Government,Medicare
AETNA,Commercial,Aetna
Aetna,Commercial,Aetna
aetna,Commercial,Aetna
aetna - city of titusville,Commercial,Aetna
aetna all,Commercial,Aetna
Aetna ASA,Commercial,Aetna
aetna asa,Commercial,Aetna
AETNA BEHAVIORAL HEALTH [10000121],Commercial,Aetna
AETNA BEHAVIORAL HEALTH [10033101],Commercial,Aetna
aetna better health,Commercial,Aetna
AETNA BETTER HEALTH HEALTHY KIDS,Commercial,Aetna
AETNA BETTER HEALTH HEALTHY KIDS [10000114],Commercial,Aetna
AETNA BETTER HEALTH MEDICAID,Government,Medicaid
AETNA BETTER HEALTH MEDICAID [45011601],Government,Medicaid
AETNA BETTER HEALTH MEDICAID HMO [25031301],Government,Medicaid
AETNA CATASTROPHIC,Commercial,Aetna
aetna commercial,Commercial,Aetna
aetna coventry first health facility rental,Commercial,Aetna
AETNA DUAL BETTER HEALTH [450011602],Commercial,Aetna
AETNA EAP (BBH ONLY) [10700103],Commercial,Aetna
AETNA EPO [10000109],Commercial,Aetna
Aetna First Health,Commercial,Aetna
aetna first health,Commercial,Aetna
aetna gatekeeper/non gatekeeper,Commercial,Aetna
AETNA HEALTHY KIDS [21010201],Commercial,Aetna
AETNA HMO,Commercial,Aetna
AETNA HMO EXCHANGE,Commercial,Aetna
AETNA HMO/POS [10000107],Commercial,Aetna
Aetna INTL Passport,Commercial,Aetna
aetna intl passport,Commercial,Aetna
aetna mcr adv node aetna mcr adv,Government,Medicare
AETNA MEDICARE,Government,Medicare
aetna medicare,Government,Medicare
AETNA MEDICARE [25051801],Government,Medicare
AETNA MEDICARE ADVANTAGE,Government,Medicare
AETNA MEDICARE HMO [45012602],Government,Medicare
AETNA MEDICARE PPO [45012601],Government,Medicare
AETNA MERITAIN CHOICE POS II [10000110],Commercial,Aetna
AETNA MERITAIN OPEN CHOICE PPO [10000116],Commercial,Aetna
AETNA NAP NATIONAL ADVANTAGE PLAN [10000117],Commercial,Aetna
AETNA NAT'L RAILWAY [10000118],Commercial,Aetna
AETNA PPO,Commercial,Aetna
AETNA PPO [10000101],Commercial,Aetna
AETNA PPO [21010105],Commercial,Aetna
AETNA QHP [10000119],Commercial,Aetna
AETNA SENIOR SUPPLEMENTAL [10027601],Commercial,Aetna
AETNA SIGNATURE ADMIN ASA [10000113],Commercial,Aetna
AETNA SRC AFFORDABLE HEALTH CHOICES [10000112],Commercial,Aetna
AETNA TIER 2,Commercial,Aetna
AETNA WHOLE HEALTH [10000115],Commercial,Aetna
Aetna Work Comp FL,Commercial,Aetna
aetna work comp fl,Government,Worker's Comp
aetnagatekeeper,Commercial,Aetna
aetnahix,Commercial,Aetna
aetnamgdmcaid,Government,Medicaid
aetnamgdmcare,Government,Medicare
aetnanongatekeeper,Commercial,Aetna
affiliates freedomhealthmgdmcare,Government,Medicare
affiliates healthsunhealthplansmgdmcare,Government,Medicare
affiliates simplyhealthcaremgdmcaid,Government,Medicaid
affiliates simplyhealthcaremgdmcare,Government,Medicare
AFFORDABLE PPO,Commercial,Other Commercial
AG ADMINISTRATORS [50001502],Commercial,TPA
AITHER HEALTH [10034201],Commercial,Aither
ALIGN MEDICARE REPLACEMENT [25052401],Government,Medicare
all cigna all,Commercial,Cigna
All Commercial Plans/Medical Rental Network,Commercial,Other Commercial
All Commercial Products,Commercial,Other Commercial
ALL Humana ALL,Commercial,Humana
all humana all,Commercial,Humana
all plans,Commercial,Other Commercial
All Plans,Unknown,Unknown
ALL PRODUCTS,Unknown,Unknown
All Products,Commercial,Other Commercial
All Products-Transplant,Commercial,Other Commercial
ALLEGIANCE [10000936],Commercial,Allegiance
ALLEGIANCE BENEFIT PLAN MANAGEMENT [10000930],Commercial,Allegiance
alliance organ recovery comm,Commercial,Alliance
ALLIED BENEFIT GROUP - AETNA [10031202],Commercial,Aetna
ALLIED BENEFIT GROUP - PHCS [10031201],Commercial,PHCS
ALLIED BENEFIT GROUP [10031203],Commercial,Allied Benefit Group
ALLIED BENEFIT GROUP- CIGNA [10031204],Commercial,Cigna
ALLIED BENEFIT GROUP- CIGNA OPEN ACCESS [10031207],Commercial,Cigna
ALLIED BENEFIT GROUP- PHCS [10031205],Commercial,PHCS
ALLIED BENEFIT GROUP-PHCS 75068 [10031206],Commercial,PHCS
All-inclusive Care for Elderly Program,Government,Other Government
AllPayerAppendix,Unknown,Unknown
allpayerappendix,Unknown,Unknown
ALLSTATE AUTO [75000501],Unknown,Unknown
AM FIRST INSURANCE COMPANY [10035501],Commercial,AmFirst
AMA INSURANCE [10032901],Commercial,AMA
Ambetter,Commercial,Ambetter
ambetter,Commercial,Ambetter
AMBETTER COMMERCIAL,Commercial,Ambetter
AMBETTER OF SUNSHINE HEALTH [10025601],Commercial,Ambetter
AMBETTER PEACH STATE [10025602],Commercial,Ambetter
ambetter_exchange,Commercial,Ambetter
ambetterhix,Commercial,Ambetter
ambetterhixvalueandselect,Commercial,Ambetter
AMERIBEN SOLUTIONS [10031901],Commercial,Ameriben
america mcr,Government,Medicare
AMERICAN PLAN ADMINISTRATORS [10034301],Commercial,American
AMERICAN PUBLIC LIFE [10034401],Commercial,American
AMERICAN RETIREMENT LIFE INSURANCE [10000932],Commercial,American
amerigroup,Commercial,Amerigroup
AMERIGROUP COMMUNITY CARE [45011901],Commercial,Amerigroup
amerigroup kids medicaid fl,Government,Medicaid
Amerigroup Medicaid FL,Government,Medicaid
amerigroup medicaid fl,Government,Medicaid
amerihealthcaritasmgdmcaid,Government,Medicaid
amerihealthcaritasmgdmcare,Government,Medicare
amerihealthexchange,Commercial,Amerihealth
AMERIHTH CARITAS NXT EX,Commercial,Amerihealth
AMFIRST INSURANCE COMPANY [10036901],Commercial,Amfirst
AMO MEDICAL [10036401],Commercial,AMO
AMTRUST [70007801],Commercial,Amtrust
and uk medical abroad llc ppo usandukmedicalabroadllcppo,Commercial,Other Commercial
apa uhc apa,Commercial,United Health Care
APWU- SECONDARY [10037702],Commercial,APWU
APWU/UNITED HEALTHCARE  [10037701],Commercial,APWU
ARTHUR VINING DAVIS FOUNDATION [50001910],Commercial,Other Commercial
asa,Commercial,ASA
asa_ppo,Commercial,ASA
ASCENSION SMARTHEALTH [10025901],Commercial,Ascension
ASOEO,Commercial,ASOEO
asoeo,Commercial,ASOEO
ASR HEALTH BENEFITS [10034501],Commercial,TPA
assistance assuredassistanceppo,Commercial,Other Commercial
ASSURANT HEALTH - AETNA ASA [10027001],Commercial,Aetna
Auto Insurance FL State Auto Insurance FL,Unknown,Unknown
auto insurance fl state auto insurance fl,Unknown,Unknown
AUXIANT [10000939],Commercial,Auxiant
AvMed,Commercial,Avmed
Avmed,Commercial,Avmed
AVMED BEHAVIORAL HEALTH [10028701],Commercial,Avmed
AVMED ENTRUST,Commercial,Avmed
AVMED ENTRUST [10024703],Commercial,Avmed
AVMED HEALTH PLAN CONTRACTED [25020401],Commercial,Avmed
AVMED HMO,Commercial,Avmed
AVMED HMO [10024706],Commercial,Avmed
AVMED HMO ENGAGE [10024705],Commercial,Avmed
AVMED INDIVIDUAL,Commercial,Avmed
AVMED MEDICARE,Government,Medicare
AVMED POS EMPOWER [10024707],Commercial,Avmed
AVMED PPO,Commercial,Avmed
AVMED STATE OF FLORIDA [10024704],Commercial,Avmed
avmedcommercial,Commercial,Avmed
avmedemployeroptionaso,Commercial,Avmed
avmedentrusthix,Commercial,Avmed
avmedmgdmcare,Government,Medicare
BANKERS LIFE AND CASUALTY [10029301],Commercial,CNO Financial
BAPTIST EAP (BBH ONLY) [10700104],Commercial,Baptist
BC FL PPO [21000101],Commercial,Blue Cross Blue Shield
BCBS ADVANTAGE 65 [10027702],Commercial,Blue Cross Blue Shield
BCBS BAPTIST EMPLOYEE [20000205],Commercial,Blue Cross Blue Shield
BCBS BLUECARE HMO [20000204],Commercial,Blue Cross Blue Shield
BCBS BLUEOPTIONS OUT OF STATE [20000211],Commercial,Blue Cross Blue Shield
BCBS BLUEOPTIONS PPO [20000201],Commercial,Blue Cross Blue Shield
BCBS BLUESELECT NON PAR [20000209],Commercial,Blue Cross Blue Shield
BCBS BLUESELECT UNDER 18 [20000213],Commercial,Blue Cross Blue Shield
BCBS FEDERAL EMP PROGR [20000203],Commercial,Blue Cross Blue Shield
BCBS FL BSL,Commercial,Blue Cross Blue Shield
bcbs fl bsl,Commercial,Blue Cross Blue Shield
BCBS FL HMO,Commercial,Blue Cross Blue Shield
bcbs fl hmo,Commercial,Blue Cross Blue Shield
BCBS FL MBN,Commercial,Blue Cross Blue Shield
bcbs fl mbn,Commercial,Blue Cross Blue Shield
bcbs fl mcr adv node bcbs fl mcr adv,Government,Medicare
BCBS FL NWB,Commercial,Blue Cross Blue Shield
bcbs fl nwb,Commercial,Blue Cross Blue Shield
BCBS FL PHS,Commercial,Blue Cross Blue Shield
bcbs fl phs,Commercial,Blue Cross Blue Shield
BCBS FL PPO,Commercial,Blue Cross Blue Shield
bcbs fl ppo,Commercial,Blue Cross Blue Shield
BCBS FL SBN,Commercial,Blue Cross Blue Shield
bcbs fl sbn,Commercial,Blue Cross Blue Shield
BCBS FL SIMPLYBLUE HMO,Commercial,Blue Cross Blue Shield
BCBS HMO - MYBLUE [20000207],Commercial,Blue Cross Blue Shield
BCBS HMO/POS - OUT OF STATE [20000214],Commercial,Blue Cross Blue Shield
BCBS HMO/PPO,Commercial,Blue Cross Blue Shield
BCBS MEDICARE,Government,Medicare
BCBS MEDICARE HMO [45012702],Government,Medicare
BCBS MEDICARE PPO,Government,Medicare
BCBS MEDICARE PPO [45012701],Government,Medicare
BCBS MEDICARE REPLACEMENT [25050301],Government,Medicare
BCBS MEDICARE SUPPLEMENT [10027701],Government,Medicare
BCBS NETWORKBLUE,Commercial,Blue Cross Blue Shield
BCBS PHS CAH,Commercial,Blue Cross Blue Shield
BCBS PPC,Commercial,Blue Cross Blue Shield
BCBS PPC B,Commercial,Blue Cross Blue Shield
BCBS PPC CAH,Commercial,Blue Cross Blue Shield
BCBS PPO [20000202],Commercial,Blue Cross Blue Shield
BCBS PPO OUT OF STATE [20000212],Commercial,Blue Cross Blue Shield
BCBS TRADITIONAL [20000208],Commercial,Blue Cross Blue Shield
BCCEDP [50001101],Government,Other Government
beach juvenile correction gvt,Government,Other Government
beach pace mcr,Government,Medicare
BEACON HEALTH OPTIONS [10027801],Commercial,Beacon
BEACON HEALTH STRATEGIES [10027802],Commercial,Beacon
behavioral,Commercial,Behavioral
behavioral comm,Commercial,Behavioral
behavioral health cenpatico behavioral health,Commercial,Behavioral
behavioral health cigna behavioral health,Commercial,Behavioral
behavioral health comm,Commercial,Behavioral
behavioral health concordia behavioral health,Commercial,Behavioral
behavioral health dba carisk partners concordia behavioral health dba carisk partners,Commercial,Behavioral
behavioral health healthkidshmo,Commercial,Behavioral
behavioral health humana behavioral health,Commercial,Behavioral
behavioral health humana behavioral health medicare,Government,Medicare
behavioral health magellan behavioral health,Commercial,Behavioral
behavioral health mcd,Government,Medicaid
behavioral health mcr,Government,Medicare
behavioral health mgmcd,Government,Medicaid
behavioral health mgmcr,Government,Medicare
behavioral health psych united behavioral health psych,Commercial,Behavioral
behavioral health vaccn,Commercial,Behavioral
behavioral health vacnn,Commercial,Behavioral
behavioral healthykidshmo,Commercial,Behavioral
behavioral mgmcd,Government,Medicaid
behavioral mgmcr,Government,Medicare
behavioral_health,Commercial,Behavioral
behavioral_health_misc,Commercial,Behavioral
behavioral_hmo_pmhp,Commercial,Behavioral
behavioral_medicaid,Government,Medicaid
behavioral_medicare,Government,Medicare
behavioral_ppo,Commercial,Behavioral
behavioralhealth healthykidshmo,Commercial,Behavioral
behavioralhealth mcd,Government,Medicaid
BENEFIT ADMINISTRATIVE SYSTEMS [10029401],Commercial,TPA
better_health_healthy_kids,Commercial,Better Health
better_health_medicaid,Government,Medicaid
bh comm,Commercial,Better Health
bh mcd,Government,Medicaid
bh mcr,Government,Medicare
bh mgmcd,Government,Medicaid
bhcomm,Commercial,Better Health
big bend fed,Government,Other Government
BLUE CARE HMO,Commercial,Blue Cross Blue Shield
BLUE CROSS,Commercial,Blue Cross Blue Shield
BLUE CROSS BLUE SHIELD,Commercial,Blue Cross Blue Shield
BLUE SELECT,Commercial,Blue Cross Blue Shield
Blue Select,Commercial,Blue Cross Blue Shield
Blue Select OP,Commercial,Blue Cross Blue Shield
blue_select,Commercial,Blue Cross Blue Shield
BlueSelect,Commercial,Blue Cross Blue Shield
BMC EMPLOYEE HEALTH [70005701],Commercial,Baptist Health
BOON-CHAPMAN [10000122],Commercial,TPA
BRIGHT HEALTH [10028301],Commercial,Bright Health
BRIGHT HEALTH EXCHANGE,Commercial,Bright Health
BRIGHTON HEALTH PLAN [10032501],Commercial,Brighton
BRISTOL WEST AUTO INSURANCE [75001101],Unknown,Unknown
Broad Network,Commercial,Other Commercial
broad network avmed broad network,Commercial,Avmed
broward hospital district southbrowardhospitaldistrictppo,Commercial,Other Commercial
bselnonpar,Commercial,Other Commercial
BSL,Commercial,Blue Cross Blue Shield
bsl,Commercial,Other Commercial
bslnon-par,Commercial,Other Commercial
by sunshine hix ambetter by sunshine hix,Commercial,Other Commercial
call onecallnonstandard,Commercial,Other Commercial
call onecallstandard,Commercial,Other Commercial
call onecallwc,Government,Worker's Comp
CAPITAL HEALTH PLAN,Commercial,Capital
CAPITAL HEALTH PLAN [10025501],Commercial,Capital
care charity care,Commercial,Other Commercial
care concordiabehavioralhealth,Commercial,Other Commercial
care concordiabehavioralhealthmgdmcare,Government,Medicare
care confidentcare,Commercial,Other Commercial
care district comm,Commercial,Other Commercial
care hospice of miami dade and the fl keys inc compassionate care hospice of miami dade and the fl keys inc,Commercial,Other Commercial
care management inc penfieldcaremanagementinc,Commercial,Other Commercial
care of south florida opus care of south florida,Commercial,Other Commercial
care partners (fl) all plans,Commercial,Other Commercial
care plan mcd,Government,Medicaid
care solutions correct care solutions,Commercial,Other Commercial
care_plus_ppo_pffs_medicare_,Government,Medicare
CARELON BEHAVIORAL HEALTH [10037901],Commercial,Carelon
CARELON BEHAVIORAL HEALTH MEDICAID [45011501],Government,Medicaid
careplus,Commercial,Careplus
CAREPLUS HEALTH MEDICARE [45013001],Government,Medicare
CAREPLUS MC HMO,Commercial,Careplus
careplus_hmo,Commercial,Careplus
cares comm,Commercial,Other Commercial
CARESOURCE OF GEORGIA MEDICAID [45012101],Government,Medicaid
caresourcemgdmcare,Government,Medicare
caritas hix,Commercial,Caritas
caritas medicaid amerihealth caritas medicaid,Government,Medicaid
caritas medicare amerihealth caritas medicare,Government,Medicare
caritas mgmcd,Government,Medicaid
caritas mgmcr,Government,Medicare
caritas next exchange amerihealth caritas next exchange,Commercial,Caritas
case agreement single case agreement,Unknown,Unknown
CCMSI [70007701],Commercial,CCMSI
CELTIC INSURANCE COMPANY [10035601],Commercial,Celtic
CENPATICO SUNSHINE HEALTH MCD,Government,Medicaid
centenehnwellcaremgdmcare,Government,Medicare
CENTIVO NON-SELECT [10027202],Commercial,Centivo
CENTIVO SELECT [10027201],Commercial,Centivo
CENTRAL STATES INDEMNITY [10037401],Commercial,Central States
century health cap new century health cap,Commercial,New Century Health
CHAMPVA [50000101],Government,VA
ChampVA NODE ChampVA,Government,Other Government
champva node champva,Government,VA
CHAMPVA/Tricare,Government,Other Government
CHILDREN MEDICAL SERVICES MCD,Government,Medicaid
childrens medical services ped-i-care medicaid fl,Government,Medicaid
CHIP/Medicaid,Government,Medicaid
choice network employerschoicenetworkwc,Government,Worker's Comp
choice provider network americaschoiceprovidernetworkwc,Government,Worker's Comp
choicecare,Commercial,Humana
Choice-Select HMO/Options PPO/Cruise Lines,Commercial,Humana
christian ppo,Commercial,Other Commercial
CIGNA,Commercial,Cigna
cigna,Commercial,Cigna
cigna - brevard county commissioners,Commercial,Cigna
Cigna ALL,Commercial,Cigna
cigna all,Commercial,Cigna
CIGNA BEHAVIORAL HEALTH [10028801],Commercial,Cigna
CIGNA CONNECT [10000937],Commercial,Cigna
CIGNA CONNECT NETWORK EXCHANGE,Commercial,Cigna
CIGNA EAP (BBH ONLY) [10700101],Commercial,Cigna
CIGNA GREAT WEST [10000902],Commercial,Cigna
CIGNA HEALTH PARTNERS [10000934],Commercial,Cigna
CIGNA HEALTH PARTNERS [10028802],Commercial,Cigna
cigna healthspring mcr adv node cigna healthspring mcr adv,Government,Medicare
CIGNA HMO,Commercial,Cigna
cigna hmo,Commercial,Cigna
CIGNA HMO [10000922],Commercial,Cigna
CIGNA HMO/PPO [21020101],Commercial,Cigna
CIGNA MEDICARE ADVANTAGE,Government,Medicare
CIGNA MEDICARE SUPPLEMENT [100000928],Government,Medicare
CIGNA NATIONAL ASSOC OF LETTER CARRIERS [10000904],Commercial,Cigna
CIGNA NEW BUSINESS [10000923],Commercial,Cigna
CIGNA POS [10000925],Commercial,Cigna
CIGNA PPO,Commercial,Cigna
cigna ppo,Commercial,Cigna
cigna ppo / hmo,Commercial,Cigna
CIGNA PPO [10000901],Commercial,Cigna
CIGNA/APWU [10000928],Commercial,Cigna
cignahealthplanhmo,Commercial,Cigna
cignahealthplanppo,Commercial,Cigna
cignahealthplansurefit,Commercial,Cigna
CLAY COUNTY SHERIFF'S OFFICE [50002501],Government,Other Government
CLEAR HEALTH [25030901],Commercial,Clear Health Alliance
CLEAR HEALTH ALLIANCE [45012201],Commercial,Clear Health Alliance
CLEAR HEALTH ALLIANCE MCD,Government,Medicaid
clear_health_alliance,Commercial,Clear Health Alliance
clear_health_alliance_medicaid,Government,Medicaid
CLEMENTS FAMILY ENDOWMENT [50001905],Commercial,Clements
CMS SUNSHINE HEALTH MEDICAID [45011103],Government,Medicaid
co sheriff dept prison,Government,Other Government
COLONIAL PENNLIFE [10029501],Commercial,Colonial
comfort underwriters pointcomfortunderwriters,Commercial,Point Comfort Underwriters
comm,Commercial,Other Commercial
Commercial,Commercial,Other Commercial
commercial,Commercial,Other Commercial
Commercial - Inpatient,Commercial,Other Commercial
Commercial - Outpatient,Commercial,Other Commercial
commercial aetna commercial,Commercial,Aetna
commercial cigna commercial,Commercial,Cigna
Commercial Exchange,Commercial,Other Commercial
commercial healthfirst commercial,Commercial,Other Commercial
Commercial HMO,Commercial,Other Commercial
commercial hmo,Commercial,Other Commercial
commercial hmo humana commercial hmo,Commercial,Humana
Commercial HMO/PPO/POS,Commercial,Other Commercial
commercial humana commercial,Commercial,Humana
Commercial NWB,Commercial,Other Commercial
Commercial Other,Commercial,Other Commercial
commercial other,Commercial,Other Commercial
Commercial Other - Outpatient,Commercial,Other Commercial
commercial other - outpatient,Commercial,Other Commercial
Commercial PPO,Commercial,Other Commercial
commercial ppo,Commercial,Other Commercial
Commercial PPO - Inpatient,Commercial,Other Commercial
commercial ppo - inpatient,Commercial,Other Commercial
Commercial PPO Choice,Commercial,Other Commercial
commercial ppo choice,Commercial,Other Commercial
commercial ppo humana commercial ppo,Commercial,Humana
Commercial PPO International,Commercial,Other Commercial
commercial ppo international,Commercial,Other Commercial
Commercial PPO Select Network,Commercial,Other Commercial
commercial ppo select network,Commercial,Other Commercial
commercial prime network products,Commercial,Prime
Commercial Prime Network Products - Outpatient,Commercial,Other Commercial
commercial prime network products - outpatient,Commercial,Prime
commercial united commercial,Commercial,United Health Care
Commercial/Medicare,Government,Medicare
commppocomplementarynetwork,Commercial,Other Commercial
commppoprimarynetwork,Commercial,Other Commercial
community care floridacommunitycaremgdmcaid,Government,Medicaid
community care floridacommunitycaremgdmcare,Government,Medicare
community care healthykids,Commercial,Other Commercial
community care mcd,Government,Medicaid
Community Care Medicaid HMO,Government,Medicaid
community care medicaid hmo,Government,Medicaid
COMMUNITY CARE PLAN [45014101],Government,Medicaid
community fed,Government,Other Government
COMMUNITY HOSPICE OF NORTHEAST FLORIDA [50001201],Commercial,Other Commercial
community mcr,Government,Medicare
compensation workers compensation,Government,Worker's Comp
compensation workmans compensation,Government,Worker's Comp
Complementary,Unknown,Unknown
complementary,Commercial,Other Commercial
complementarynetwork,Commercial,Other Commercial
complementaryppo,Commercial,Other Commercial
complete care magellan complete care,Commercial,Magellan
complete care magellan medicaid fl,Government,Medicaid
complete care mcd,Government,Medicaid
Complete Care MCR,Government,Medicare
complete care mcr,Government,Medicare
complete care mgmcr,Government,Medicare
COMPSYCH [10028501],Commercial,Other Commercial
COMPUTER SHARE [10030002],Unknown,Unknown
CONSTITUTION LIFE [10035401],Commercial,Constitution Life
consultants international employer direct maritimeconsultantsinternationalemployerdirect,Commercial,Other Commercial
contra el cancer liga contra el cancer,Commercial,Other Commercial
corners prison,Government,Other Government
Corporation WORKERSCOMP,Government,Worker's Comp
corporation workerscomp,Government,Worker's Comp
correctional risk services node correctional risk services,Commercial,Other Commercial
CorVel Work Comp FL,Government,Other Government
Corvel Work Comp FL,Government,Worker's Comp
corvel work comp fl,Government,Worker's Comp
corvelppo,Commercial,Corvel
corvelwc,Government,Worker's Comp
COUNTRY LIFE INSURANCE [10037501],Commercial,Country Life Insurance
county comm,Commercial,Other Commercial
county jail prison,Government,Other Government
county mh prison,Government,Other Government
county monroe county commissioners,Government,Other Government
county sb comm,Commercial,Other Commercial
county schools wc,Government,Worker's Comp
County Sheriffs LocalGovernment,Government,Other Government
county sheriffs office logov,Government,Other Government
county_of_volusia,Government,Other Government
coventry,Commercial,Coventry
COVENTRY HEALTHCARE OF GA [10001003],Commercial,Coventry
coventryakagenexwc,Government,Worker's Comp
cross and blue shield of florida bcbs fl bsl,Commercial,Blue Cross Blue Shield
cross and blue shield of florida bcbs fl hmo,Commercial,Blue Cross Blue Shield
cross and blue shield of florida bcbs fl mbn,Commercial,Blue Cross Blue Shield
cross and blue shield of florida bcbs fl nwb,Commercial,Blue Cross Blue Shield
cross and blue shield of florida bcbs fl phs,Commercial,Blue Cross Blue Shield
cross and blue shield of florida bcbs fl ppo,Commercial,Blue Cross Blue Shield
CROSS BLUE CROSS MBN,Commercial,Blue Cross Blue Shield
CROSS BLUE CROSS NWB,Commercial,Blue Cross Blue Shield
CROSS BLUE CROSS PHS,Commercial,Blue Cross Blue Shield
CROSS BLUE CROSS PPO,Commercial,Blue Cross Blue Shield
CROSS BLUE CROSS SBN,Commercial,Blue Cross Blue Shield
Cross Commercial HMO Health Options,Commercial,Blue Cross Blue Shield
cross commercial hmo health options,Commercial,Blue Cross Blue Shield
Cross Commercial HMO Health Options - Outpatient,Commercial,Blue Cross Blue Shield
Cross Commercial HMO My Blue,Commercial,Blue Cross Blue Shield
cross commercial hmo my blue,Commercial,Blue Cross Blue Shield
Cross Commercial HMO My Blue - Outpatient,Commercial,Blue Cross Blue Shield
Cross Commercial HMO Simply Blue,Commercial,Blue Cross Blue Shield
cross commercial hmo simply blue,Commercial,Blue Cross Blue Shield
Cross Commercial HMO Simply Blue - Outpatient,Commercial,Blue Cross Blue Shield
Cross Commercial PPO Blue Select,Commercial,Blue Cross Blue Shield
cross commercial ppo blue select,Commercial,Blue Cross Blue Shield
Cross Commercial PPO Blue Select - Outpatient,Commercial,Blue Cross Blue Shield
Cross Commercial PPO Network Blue,Commercial,Blue Cross Blue Shield
cross commercial ppo network blue,Commercial,Blue Cross Blue Shield
Cross Commercial PPO Network Blue - Outpatient,Commercial,Blue Cross Blue Shield
Cross Commercial PPO PPC PHS,Commercial,Blue Cross Blue Shield
cross commercial ppo ppc phs,Commercial,Blue Cross Blue Shield
Cross Commercial PPO PPC PHS - Outpatient,Commercial,Blue Cross Blue Shield
CROSS MEDICARE ADVANTAGE (100% POM),Government,Medicare
Cross Medicare HMO,Government,Medicare
cross medicare hmo,Government,Medicare
cruise line disney cruise line,Commercial,Humana
cruise operator classicacruiseoperator,Commercial,Humana
CURATIVE [10038801],Commercial,Curative
DANIEL MEMORIAL [50002801],Commercial,Daniel Memorial
DAVIES NORTH AMERICA [70005801],Commercial,Davies
definitive care mcr,Government,Medicare
Definitive Care MGMCR,Government,Medicare
definitive care mgmcr,Government,Medicare
department of corrections fl doc,Government,Other Government
DEVOTED HEALTH MC HMO,Government,Medicare
DEVOTED HEALTH MEDICARE [45013201],Government,Medicare
devoted medicare nch devoted medicare med onc,Government,Medicare
devoted medicare nch devoted medicare rad onc,Government,Medicare
DIMENSION 2,Commercial,Dimension
DIMENSION HEALTH PLANS,Commercial,Dimension
DIMENSION PLUS,Commercial,Dimension
direct comm,Commercial,Other Commercial
DIRECT GENERAL AUTO [75001301],Unknown,Unknown
direct healthcare employer direct healthcare,Commercial,Other Commercial
directions (lucet) comm,Commercial,Lucet
directions (lucet) mcr,Government,Medicare
directions behavioral comm,Commercial,Other Commercial
directions behavioral health commercial new directions behavioral health commercial,Commercial,Other Commercial
directions behavioral health exchange new directions behavioral health exchange,Commercial,Other Commercial
directions behavioral health medicare new directions behavioral health medicare,Government,Medicare
directions behavioral health new directions behavioral health,Commercial,Other Commercial
directions behavioral mcr,Government,Medicare
directions new directions behavioral,Commercial,Other Commercial
directions newdirectionsbehavioralcomm,Commercial,Other Commercial
directions newdirectionsbehavioralhix,Commercial,Other Commercial
directions newdirectionsbehavioralmgdmcare,Government,Medicare
discountppo,Commercial,Other Commercial
DISCOVERY AUTO [75000801],Unknown,Unknown
DOCTORS HEALTHCARE MC HMO,Government,Medicare
DRUG ASSISTANCE PROGRAMS [11000101],Government,Other Government
dual_medicare,Government,Medicare
EBMS [10034701],Commercial,TPA
edhc,Commercial,Other Commercial
EMBLEM HEALTH [10031301],Commercial,Emblem
Employee Coverage,Commercial,Other Commercial
empower,Commercial,Empower
energy keys energy services,Commercial,Energy Keys
engage,Commercial,Other Commercial
epo,Commercial,Other Commercial
EPO/PPO,Commercial,Other Commercial
epo_hmo,Commercial,Other Commercial
ESIS [70007901],Commercial,TPA
